nombre,apellido,producto,cantidad,precio_unitario,canal_venta
Pedro,Lopez,Pro Shampoo,1,225.16,Marketplace
Andres,Garcia,Cafe Marcador,2,67.25,Ecommerce
Jorge,Diaz,Opti Pantalon,3,173.57,Distribuidor
Jorge,Gonzalez,Silver Marcador,1,42.19,Distribuidor
Pedro,Hernandez,Nano Zapatilla,5,111.32,CallCenter
Sofia,Rodriguez,Oro PowerBank,1,70.4,Ecommerce
Jorge,Gonzalez,Rio Parlante,5,792.07,Marketplace
Carlos,Ramirez,Selva Tripode,4,110.54,Marketplace
Jorge,Ramirez,Basic Semilla,4,13.68,Tienda
Andres,Sanchez,Selva Toalla,5,280.81,CallCenter
Carlos,Ramirez,Pacifica Parlante,3,105.35,Tienda
Maria,Garcia,Bosque Linterna,1,20.17,Marketplace
Camila,Sanchez,Power Bicicleta,1,137.85,Tienda
Camila,Garcia,Fresh Camisa,4,17.87,Tienda
Juan,Rodriguez,Aqua Mouse,5,88.93,Marketplace
Carlos,Lopez,Aqua Parlante,1,74.76,CallCenter
Ana,Hernandez,Pacifica Patin,1,26.82,Tienda
Andres,Gonzalez,Cafetal Bicicleta,3,102.95,Distribuidor
Andres,Ramirez,Nova ProtectorSolar,2,119.22,Tienda
Carlos,Perez,Nova Perfume,4,39.04,Tienda
Juan,Perez,Andes Cafetera,4,98.5,Marketplace
Luisa,Rodriguez,Elite Silla,2,281.51,CallCenter
jorge,hernandez,Elite Guitarra,1,5.84,Tienda
Luisa,Sanchez,Cacao Router,3,116.71,Distribuidor
Maria,Perez,Max Galleta,3,88.0,Ecommerce
Sofia,Perez,Lite Linterna,4,94.57,Marketplace
Ana,Hernandez,Alpha Mousepad,3,275.23,Ecommerce
Juan,Ramirez,Nova Raqueta,2,99.48,Tienda
Maria,Lopez,Max Lampara,1,12.87,Marketplace
Jorge,Perez,Lago Telefono,2,12.05,Tienda
Sofia,Diaz,Mini Boligrafo,5,83.0,Marketplace
Juan,Rodriguez,Smart Cinta,4,79.46,Distribuidor
Juan,Martinez,Sabana Mesa,3,732.51,CallCenter
Maria,Lopez,Sabana Tijera,5,268.46,Distribuidor
Andres,Hernandez,Omega Balon,3,119.32,Ecommerce
Sofia,Rodriguez,Lago Cuchillo,1,27.19,Tienda
Maria,Sanchez,Max Jabon,1,12.91,CallCenter
Jorge,Hernandez,Golden Patin,1,84.29,Tienda
Maria,Ramirez,Montana Chocolate,3,49.56,CallCenter
Jorge,Diaz,Flex Chocolate,5,80.2,Distribuidor
Andres,Garcia,Omega Zapatilla,1,416.62,Ecommerce
Pedro,Lopez,Andes Extensor,5,172.76,CallCenter
Juan,Sanchez,Royal Copa,3,57.39,Tienda
Ana,Hernandez,Cafe Parlante,5,28.35,Marketplace
Luisa,Perez,Flex Cinta,3,10.36,Distribuidor
Maria,Ramirez,Elite Sarten,3,50.86,CallCenter
Ana,Diaz,Pacifica Cable,4,11.17,Ecommerce
Andres,Sanchez,Cielo Pegante,3,12.26,Marketplace
Luisa,Garcia,Montana Parlante,3,120.85,Distribuidor
Andres,Martinez,Cordillera Linterna,2,169.66,Ecommerce
Jorge,Lopez,Omega Rompecabezas,1,187.82,Ecommerce
Maria,Diaz,Selva Extensor,4,151.26,CallCenter
Ana,Hernandez,Alpha Cereal,4,753.03,Tienda
Ana,Hernandez,Pro Plato,4,81.06,Marketplace
Jorge,Lopez,Mini Balanza,2,260.72,CallCenter
Camila,Garcia,Active Cereal,3,132.84,Ecommerce
Juan,Martinez,Prime Gorra,1,175.21,Distribuidor
Ana,Garcia,Bright Balon,5,49.38,CallCenter
Pedro,Diaz,Plus Papel,3,750.03,CallCenter
Jorge,Ramirez,Mini Plancha,2,197.16,Ecommerce
Carlos,Sanchez,Andes Muñeco,3,36.92,Marketplace
Juan,Martinez,Eco Gorra,3,28.86,Ecommerce
Andres,Sanchez,Silver Cuaderno,2,95.69,Marketplace
Jorge,Rodriguez,Smart Olla,4,59.29,Ecommerce
Juan,Hernandez,Lite Tenedor,4,112.55,Ecommerce
Juan,Hernandez,Selva Telefono,1,67.3,Distribuidor
Sofia,Martinez,Sabana Galleta,1,129.24,Tienda
Sofia,Garcia,Mini Licuadora,4,217.05,Ecommerce
Sofia,Diaz,Llanero Agenda,5,3.38,CallCenter
Maria,Rodriguez,Royal Zapatilla,3,15.09,Distribuidor
Carlos,Martinez,Eco Drone,5,10.15,Ecommerce
Sofia,Hernandez,Sierra Carpa,3,75.4,CallCenter
Luisa,Gonzalez,Power Tijera,4,161.65,Distribuidor
Juan,Gonzalez,Lago Pelota,1,667.32,Tienda
Pedro,Rodriguez,Alpha Linterna,1,11.03,Ecommerce
Carlos,Martinez,Cacao Telefono,5,172.88,Marketplace
Carlos,Diaz,Cafetal Bicicleta,1,102.95,Tienda
Ana,Diaz,Rio Linterna,4,145.56,CallCenter
Sofia,Rodriguez,Plus Router,5,102.82,Distribuidor
Jorge,Rodriguez,Opti PowerBank,3,64.06,Distribuidor
Camila,Diaz,Aqua Mouse,1,88.93,CallCenter
Ana,Ramirez,Lago Chocolate,2,164.92,Marketplace
Jorge,Lopez,Power Guitarra,1,113.15,CallCenter
jorge,perez,Alpha Biberon,3,52.87,Distribuidor
Camila,Lopez,Max Shampoo,5,4.24,Ecommerce
Luisa,Perez,Power Tambor,3,596.95,Marketplace
Juan,Gonzalez,Neo Mesa,2,131.17,Marketplace
Pedro,Martinez,Sierra Termo,4,88.27,Marketplace
Pedro,Lopez,Opti Termo,1,153.64,Marketplace
Luisa,Diaz,Neo Toalla,5,93.26,Ecommerce
Pedro,Martinez,Quick Teclado,4,22.78,Tienda
Camila,Rodriguez,Plus Tenedor,3,117.56,Marketplace
Luisa,Ramirez,Pacifica Agenda,5,250.48,Tienda
Sofia,Gonzalez,Flex Monitor,4,70.98,Marketplace
Sofia,Garcia,Golden Muñeco,5,159.68,Tienda
Maria,Sanchez,Magna Chaqueta,2,206.7,Distribuidor
Maria,Rodriguez,Selva Marcador,2,7.98,Marketplace
Juan,Rodriguez,Alpha Chocolate,1,75.66,Tienda
Jorge,Martinez,Golden Linterna,1,1.56,Tienda
Juan,Hernandez,Aero Perfume,2,23.05,Ecommerce
Jorge,Sanchez,Mini Plato,5,74.34,Distribuidor
Luisa,Perez,Rio Chocolate,2,92.08,CallCenter
Ana,Ramirez,Lite Drone,1,92.47,Distribuidor
Luisa,Garcia,Eco Cuchillo,2,3.4,Marketplace
Andres,Hernandez,Pacifica Mouse,2,21.28,Ecommerce
Ana,Diaz,Sabana Sacapuntas,5,53.64,Tienda
Camila,Martinez,Aqua Mochila,4,27.82,Marketplace
Camila,Lopez,Llanero Cargador,1,26.77,Distribuidor
Maria,Perez,Fresh Plancha,5,84.63,Ecommerce
Andres,Lopez,Nova Licuadora,2,9.43,CallCenter
Carlos,Garcia,Pro Pantalon,2,92.53,Ecommerce
Juan,Garcia,Andino Plato,4,27.53,CallCenter
Pedro,Lopez,Golden Perfume,1,139.23,Marketplace
Pedro,Hernandez,Bosque Colchoneta,1,47.0,Marketplace
Jorge,Hernandez,Elite Balanza,3,255.44,Marketplace
Camila,Martinez,Pacifica Teclado,1,39.97,CallCenter
Pedro,Perez,Active Cable,4,117.66,Tienda
Juan,Martinez,Aero Balon,3,19.26,Distribuidor
Jorge,Gonzalez,Andino Jabon,3,17.23,Marketplace
Jorge,Gonzalez,Eco Galleta,2,414.85,Tienda
Camila,Gonzalez,Mini Pegante,2,13.07,Marketplace
Carlos,Garcia,Quick Carpa,1,25.97,Ecommerce
Sofia,Rodriguez,Giga Mochila,3,27.2,Ecommerce
Juan,Garcia,Cielo Afeitadora,2,65.98,Marketplace
Jorge,Garcia,Fresh Monitor,4,109.07,Distribuidor
Luisa,Gonzalez,Andino Olla,2,19.02,Tienda
Juan,Gonzalez,Nano Cargador,2,122.35,Tienda
Andres,Ramirez,Nano Cafetera,3,206.97,Ecommerce
Maria,Hernandez,Lago PowerBank,3,149.72,Distribuidor
Maria,Gonzalez,Pro Licuadora,5,651.15,Marketplace
Andres,Gonzalez,Bright Tambor,4,67.17,Distribuidor
Luisa,Sanchez,Oro Sacapuntas,3,156.1,Marketplace
Maria,Sanchez,Metro Silla,1,190.91,Distribuidor
Pedro,Ramirez,Opti Tripode,4,72.27,Tienda
Camila,Garcia,Alpha Monitor,4,410.59,Marketplace
Luisa,Diaz,Golden Extensor,3,9.99,CallCenter
Maria,Garcia,Power Licuadora,4,7.34,CallCenter
Jorge,Martinez,Metro Drone,3,191.72,Tienda
Andres,Rodriguez,Bosque Carpa,2,152.36,Ecommerce
Jorge,Hernandez,Andes Jabon,5,95.21,Marketplace
Camila,Perez,Power Termo,2,153.62,CallCenter
Carlos,Diaz,Rio Extensor,3,55.69,Tienda
Ana,Garcia,Andes Rompecabezas,3,24.6,Tienda
Juan,Sanchez,Opti Switch,2,49.73,Distribuidor
Luisa,Garcia,Active Lampara,1,177.22,Distribuidor
Jorge,Diaz,Sierra Papel,1,352.7,Ecommerce
Camila,Diaz,Neo Plancha,1,7.69,Distribuidor
Carlos,Martinez,Andino Silla,3,58.27,Distribuidor
Camila,Rodriguez,Plus Chocolate,4,535.94,Marketplace
pedro,lopez,Neo Auriculares,3,355.06,Ecommerce
Sofia,Lopez,Paisa Mousepad,4,7.59,Marketplace
Juan,Rodriguez,Giga Rompecabezas,2,50.34,CallCenter
Jorge,Diaz,Oro Drone,5,129.89,Tienda
Andres,Diaz,Llanero Microfono,4,5.12,CallCenter
Pedro,Hernandez,Metro Router,1,41.68,Ecommerce
Jorge,Garcia,Lago Cafetera,3,182.08,Distribuidor
Andres,Sanchez,Aero Cinta,2,262.65,Tienda
Jorge,Martinez,Lite Mouse,1,17.02,CallCenter
Pedro,Ramirez,Bright Cable,2,23.03,Ecommerce
Jorge,Lopez,Lago Colchoneta,5,26.66,CallCenter
Andres,Hernandez,Active Muñeco,3,689.56,Distribuidor
Luisa,Diaz,Nova Toalla,3,4.16,CallCenter
Maria,Lopez,Pro Shampoo,5,225.16,Marketplace
Pedro,Martinez,Mini Carpa,3,35.09,Distribuidor
Andres,Ramirez,Active Archivador,4,201.4,CallCenter
Carlos,Ramirez,Montana Tambor,2,127.82,Ecommerce
Ana,Ramirez,Metro Jabon,1,89.48,Tienda
Pedro,Sanchez,Elite Marcador,5,702.87,Distribuidor
Sofia,Diaz,Lite Sarten,4,61.18,Ecommerce
Jorge,Sanchez,Smart Teclado,1,28.41,Distribuidor
Sofia,Lopez,Crystal Cargador,1,14.15,Tienda
Andres,Garcia,Selva PowerBank,5,12.96,Distribuidor
Ana,Hernandez,Aero Cinta,4,262.65,Marketplace
Juan,Rodriguez,Sierra Agenda,1,16.83,Marketplace
Maria,Diaz,Aqua Pantalon,1,12.44,CallCenter
Ana,Diaz,Mini Chaqueta,4,40.57,Distribuidor
Luisa,Ramirez,Andes Olla,3,53.01,Ecommerce
Camila,Sanchez,Royal Guitarra,1,166.9,CallCenter
Ana,Rodriguez,Metro Extensor,2,143.17,Distribuidor
Sofia,Rodriguez,Omega Carpeta,4,110.68,Tienda
Carlos,Hernandez,Golden Tijera,1,31.84,Tienda
Juan,Sanchez,Power Parlante,5,108.51,Tienda
Juan,Ramirez,Cacao Guitarra,2,34.91,Marketplace
Carlos,Ramirez,Pacifica Auriculares,1,73.27,Ecommerce
Andres,Diaz,Mini Raqueta,2,43.39,CallCenter
Ana,Diaz,Alpha Mouse,2,22.67,Ecommerce
Juan,Martinez,Nano Carpeta,3,98.93,Ecommerce
Juan,Rodriguez,Aqua Cepillo,2,322.76,Ecommerce
Ana,Gonzalez,Andes Colchoneta,3,31.27,Distribuidor
Jorge,Gonzalez,Magna Cinta,4,33.1,Marketplace
Pedro,Ramirez,Plus Parlante,3,238.27,Tienda
Jorge,Ramirez,Elite Pegante,5,71.78,Ecommerce
Pedro,Martinez,Cafetal Patin,1,14.46,Ecommerce
Jorge,Ramirez,Cafe Sacapuntas,4,105.8,Tienda
Andres,Gonzalez,Fresh Plancha,4,84.63,Ecommerce
Juan,Gonzalez,Prime Balanza,5,12.8,CallCenter
Luisa,Gonzalez,Silver Cafetera,3,14.91,Ecommerce
Carlos,Martinez,Selva Cuchillo,1,343.65,CallCenter
Jorge,Martinez,Cool Crema,3,96.12,Distribuidor
Sofia,Sanchez,Cielo Chocolate,2,333.93,CallCenter
Carlos,Gonzalez,Oro PowerBank,3,70.4,Marketplace
Sofia,Rodriguez,Pro Cuaderno,4,259.32,Marketplace
Carlos,Lopez,Silver Lampara,1,231.29,Distribuidor
Ana,Lopez,Opti Raqueta,3,68.49,CallCenter
Carlos,Gonzalez,Pacifica Tambor,1,103.58,CallCenter
Andres,Diaz,Prime Guante,1,345.23,Ecommerce
ana,perez,Cielo Toalla,2,10.31,Marketplace
luisa,perez,Eco Telefono,2,71.05,Tienda
Carlos,Lopez,Omega Mousepad,4,371.45,CallCenter
Andres,Hernandez,Omega Termo,5,121.28,CallCenter
Ana,Hernandez,Cafe Cargador,1,20.65,Marketplace
Andres,Garcia,Prime Colchoneta,5,168.06,Marketplace
Andres,Garcia,Omega Switch,4,512.19,Marketplace
Andres,Lopez,Nova Cinta,1,248.17,Ecommerce
Jorge,Diaz,Cafetal Balanza,1,63.99,CallCenter
Jorge,Perez,Max Microfono,5,28.88,Marketplace
Luisa,Martinez,Aero Microfono,3,31.28,CallCenter
sofia,sanchez,Max Switch,2,100.7,CallCenter
juan,hernandez,Selva Cable,3,103.9,Distribuidor
Carlos,Garcia,Bright Cafetera,5,124.0,CallCenter
Camila,Hernandez,Cafetal Carpa,2,213.89,Marketplace
Carlos,Garcia,Royal Papel,3,2.89,CallCenter
Camila,Sanchez,Royal Galleta,2,41.35,Distribuidor
Juan,Sanchez,Aero Cereal,1,64.08,Marketplace
Ana,Gonzalez,Flex Mesa,3,41.16,Tienda
Camila,Martinez,Metro Chocolate,2,136.83,Marketplace
Jorge,Diaz,Bright Linterna,2,852.41,Tienda
Juan,Diaz,Cafe Bicicleta,2,57.16,Marketplace
Pedro,Ramirez,Plus Shampoo,3,84.35,Ecommerce
Camila,Gonzalez,Oro Plancha,4,29.58,CallCenter
Sofia,Garcia,Selva Shampoo,3,105.49,CallCenter
Pedro,Ramirez,Eco Botella,5,8.61,Marketplace
Ana,Gonzalez,Cielo Galleta,3,200.55,Distribuidor
Juan,Rodriguez,Golden Pantalon,2,97.65,Ecommerce
Ana,Hernandez,Elite Webcam,1,77.8,Tienda
Ana,Gonzalez,Opti Pegante,3,2.82,Ecommerce
Juan,Perez,Elite Olla,3,187.46,Tienda
Pedro,Hernandez,Andino Semilla,2,9.12,Marketplace
Luisa,Sanchez,Cafetal Parlante,1,214.01,Tienda
Pedro,Diaz,Nano Mouse,1,31.11,Marketplace
Luisa,Garcia,Plus Lampara,5,223.33,CallCenter
Camila,Sanchez,Cacao Patin,3,74.22,Tienda
Maria,Rodriguez,Bosque Copa,1,13.32,Ecommerce
Ana,Ramirez,Aero Mesa,1,17.78,Marketplace
Pedro,Lopez,Flex Drone,4,32.43,Ecommerce
Sofia,Perez,Bosque Patin,4,116.84,Distribuidor
Jorge,Lopez,Selva Guante,1,104.91,Ecommerce
Ana,Rodriguez,Oro Lampara,5,145.18,Tienda
Andres,Sanchez,Magna Guante,1,10.62,Ecommerce
Andres,Garcia,Mini Galleta,2,30.03,Marketplace
Ana,Perez,Elite Mochila,3,3.15,Tienda
Carlos,Lopez,Alpha Bicicleta,5,99.9,Distribuidor
maria,ramirez,Cafetal Tambor,2,119.16,Marketplace
Maria,Rodriguez,Llanero Guitarra,5,69.89,Marketplace
Ana,Sanchez,Eco Afeitadora,2,329.93,Ecommerce
Sofia,Gonzalez,Sierra Crema,3,311.87,CallCenter
Pedro,Diaz,Cacao Mouse,3,166.59,Distribuidor
Maria,Lopez,Lite Drone,4,92.47,Ecommerce
Luisa,Diaz,Cielo Sarten,2,326.77,CallCenter
Maria,Martinez,Rio Cuaderno,4,73.08,Tienda
Ana,Diaz,Fresh Carpa,2,27.97,CallCenter
Pedro,Lopez,Cool Carpa,4,20.19,Tienda
Pedro,Lopez,Aero Maceta,3,34.47,Distribuidor
Carlos,Hernandez,Basic Balon,5,24.34,Distribuidor
Sofia,Lopez,Bright Carpa,4,88.29,Tienda
Camila,Ramirez,Sierra Rompecabezas,2,63.38,Tienda
jorge,ramirez,Cafetal Webcam,2,183.12,Tienda
Camila,Lopez,Cielo Cuchillo,3,8.72,Tienda
Luisa,Ramirez,Nano Papel,2,72.82,Marketplace
Maria,Lopez,Plus Cable,1,262.51,CallCenter
Juan,Perez,Elite Carpa,5,65.71,Tienda
Ana,Ramirez,Quick Balanza,4,410.51,Distribuidor
andres,martinez,Selva Webcam,5,120.61,Ecommerce
jorge,diaz,Cafetal Pelota,3,20.12,Tienda
Pedro,Garcia,Cordillera Extensor,4,68.0,Ecommerce
Andres,Hernandez,Metro Cargador,4,5.21,Tienda
carlos,hernandez,Elite Parlante,1,3.95,Tienda
Carlos,Martinez,Alpha Termo,3,54.15,Ecommerce
Ana,Ramirez,Pro Rompecabezas,2,103.45,Ecommerce
Jorge,Perez,Flex Resaltador,1,643.06,Tienda
Pedro,Hernandez,Bright Zapatilla,1,82.23,Ecommerce
Maria,Garcia,Cool Balon,5,55.36,Ecommerce
Sofia,Sanchez,Power Copa,5,27.09,Marketplace
Sofia,Lopez,Lite Teclado,5,141.19,Ecommerce
Camila,Ramirez,Andes Colchoneta,1,31.27,Tienda
Ana,Perez,Nano Chaqueta,2,656.39,Tienda
Carlos,Perez,Cacao Termo,4,43.07,Tienda
Andres,Garcia,Omega Botella,5,34.56,Marketplace
Luisa,Lopez,Sabana Cepillo,2,115.32,Distribuidor
Ana,Garcia,Selva Talonario,3,83.39,Tienda
Juan,Martinez,Opti Agenda,5,94.06,Distribuidor
Sofia,Diaz,Basic Biberon,4,173.38,Tienda
Ana,Gonzalez,Giga Teclado,3,7.22,Ecommerce
Camila,Rodriguez,Silver Muñeco,3,16.83,CallCenter
Camila,Martinez,Fresh Toalla,4,71.77,Marketplace
Maria,Diaz,Cafe Tijera,5,506.63,Ecommerce
Andres,Rodriguez,Rio Boligrafo,1,10.04,CallCenter
Pedro,Ramirez,Andino Colchoneta,4,124.05,Tienda
Andres,Diaz,Cafetal PowerBank,4,25.65,Distribuidor
Pedro,Martinez,Aqua Agenda,4,240.35,Distribuidor
Andres,Garcia,Giga Drone,3,57.84,Distribuidor
Maria,Sanchez,Lago Perfume,2,12.69,Ecommerce
Sofia,Lopez,Power Shampoo,1,24.33,CallCenter
Maria,Gonzalez,Flex Gorra,5,98.17,Ecommerce
Camila,Hernandez,Opti Tijera,5,286.24,CallCenter
Sofia,Gonzalez,Lago Patin,2,140.51,Marketplace
Ana,Ramirez,Paisa Tenedor,4,13.39,Distribuidor
Maria,Sanchez,Royal Cepillo,1,17.9,Ecommerce
Juan,Perez,Cordillera Archivador,5,96.94,Marketplace
Juan,Gonzalez,Pro Jabon,5,96.71,Ecommerce
Juan,Martinez,Power Raqueta,4,81.1,CallCenter
Andres,Garcia,Mini Plato,2,74.34,CallCenter
Andres,Ramirez,Aero Resaltador,1,13.37,Ecommerce
carlos,sanchez,Sabana Biberon,2,29.89,Tienda
Pedro,Ramirez,Eco Carpeta,2,545.24,Distribuidor
Jorge,Diaz,Plus Webcam,1,58.99,CallCenter
Juan,Garcia,Omega Cepillo,1,301.8,Tienda
Carlos,Gonzalez,Nano Toalla,5,98.88,Ecommerce
Carlos,Lopez,Oro Balon,5,200.06,CallCenter
Ana,Perez,Nova Agenda,1,177.58,Tienda
Andres,Martinez,Cielo Crema,3,374.16,CallCenter
Andres,Hernandez,Andino Termo,5,151.21,Tienda
Maria,Garcia,Quick Microfono,3,4.31,Distribuidor
Pedro,Diaz,Bright Shampoo,1,191.62,Tienda
Juan,Sanchez,Aqua Cable,5,8.16,Ecommerce
Luisa,Perez,Fresh Cereal,2,110.45,Tienda
Maria,Hernandez,Crystal Teclado,1,51.26,Ecommerce
Pedro,Gonzalez,Aqua Auriculares,4,130.04,Ecommerce
Andres,Hernandez,Bright Pelota,3,73.08,Marketplace
Luisa,Martinez,Aero Parlante,1,178.32,Distribuidor
Luisa,Rodriguez,Sabana Cable,1,71.86,CallCenter
Andres,Rodriguez,Paisa Balanza,5,78.9,CallCenter
Luisa,Lopez,Rio Balon,5,266.24,Tienda
Luisa,Hernandez,Mini Tijera,5,63.76,Tienda
Sofia,Garcia,Paisa Sacapuntas,4,160.3,CallCenter
camila,gonzalez,Lite Switch,5,252.59,Distribuidor
Camila,Perez,Omega Carpa,1,169.82,CallCenter
Jorge,Diaz,Cacao Lampara,5,164.43,Tienda
Juan,Gonzalez,Flex Boligrafo,2,104.64,Ecommerce
Maria,Perez,Oro Router,5,774.91,Tienda
Juan,Diaz,Selva Resaltador,4,650.7,Tienda
Sofia,Rodriguez,Lago Cepillo,2,7.86,Ecommerce
Carlos,Hernandez,Flex Plato,1,111.61,Tienda
Andres,Ramirez,Eco Jabon,1,41.14,Tienda
Pedro,Garcia,Lite Mesa,3,170.29,Tienda
Andres,Sanchez,Andino Cafetera,2,122.78,Tienda
Camila,Rodriguez,Neo Switch,3,127.57,Marketplace
